kNN MNIST Chessboard Distance,,,,,
Result when run on lap,,,,,
,Training time,Predict time,Accurancy,,
1-NN,23.44,692.46,0.8271,,
3-NN,22.34,733.45,0.8064,,
5-NN,22.99,763.06,0.8111,,
7-NN,20.91,676.89,0.8092,,
9-NN,25.46,665.51,0.8057,,
11-NN,25.88,665.9,0.8015,,
13-NN,29.48,670.31,0.8018,,
15-NN,23.68,657.09,0.7988,,
17-NN,21.93,691.35,0.7958,,
19-NN,21.66,711.11,0.7943,,
21-NN,21.62,719.5,0.7936,,
23-NN,23.56,663.09,0.7877,,
25-NN,23.49,672.87,0.7874,,
27-NN,23.45,674.57,0.7841,,
29-NN,23.48,674.04,0.7833,,
,,,,,
,,,,,
,Result  when run on collab,,,,
,,Accurancy,,,Notes
,1-NN,0.8271,,,Most correct and Fastest
,3-NN,0.8064,,,
,5-NN,0.8111,,,
,7-NN,0.8092,,,
,9-NN,0.8057,,,
,11-NN,0.8015,,,
,13-NN,0.8018,,,
,15-NN,0.7988,,,
,17-NN,0.7958,,,
,19-NN,0.7943,,,
,21-NN,0.7936,,,
,23-NN,0.7877,,,
,25-NN,0.7874,,,
,27-NN,0.7841,,,
,29-NN,0.7833,,,
,,,,,
,,,,,
,,Training time,Predict time,,
,,33.55,876.67,,
,,33.88,899.09,,
,,33.79,916.14,,
,,33.01,945.5,,
,,33.99,927.72,,
,,34.17,942.99,,
,,33.68,930.09,,
,,33.44,952.31,,
,,32.4,965.76,,
,,32.17,951.96,,
,,32,968.24,,
,,32.98,961.99,,
,,33.08,970.4,,
,,32.83,949.96,,
,,34.98,970.7,,